Author,Compelling.Evidence,Mechanism,Replication,Attribute,M_code,A_code,R_Attribute,Year,SI_Domain,n
"snapp et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,2,market access,2,200,income,2018,economic,16
"snapp et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,4,market access,2,200,income,2018,economic,16
"zulu et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,2,market access,2,199,income,2018,economic,16
"zulu et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,4,market access,2,199,income,2018,economic,16
"snapp et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,2,market access,2,200,income,2018,social,16
"snapp et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,4,market access,2,200,income,2018,social,16
"zulu et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,2,market access,2,199,income,2018,social,16
"zulu et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,4,market access,2,199,income,2018,social,16
"snapp et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,2,market access,2,200,market access,2018,economic,16
"snapp et al., 2018","this study was conducted in saharan africa and it explored barriers to pigeon pea (pp) adoption, focusing on livestock damage, market limitations, and production factors using focus group discussions, participatory rural appraisal, and key-informant interviews, the study examined individual and community-based strategies. 
1.	market conditions and farmer motivations
evidence: results stated that reported pigeon pea (pp) prices varied among communities, influencing farmer motivations for growing crops.
conclusion: economic incentives, such as favorable pp prices and market access, encourages farmers to invest in pp cultivation for food security and income generation.
2.	livestock damage and control strategies
evidence: results indicated that livestock damage to pigeon peas was a significant barrier, with variations across sites and seasons.
conclusion: there is need to employ various household-level and community-based livestock management, to mitigate damage and protect crops.
3.	power relations and community institutions
evidence: the findings revealed that the socioeconomic differentiation influenced power dynamics between livestock owners and pp growers.
conclusion: dominance of pp growers in community institutions may necessitate enforcement of collective livestock management measures.
4.	extension services and experience in pp growing
evidence: results demonstrated that variation in extension services and duration of pp growing influenced the effectiveness of livestock control efforts.
conclusion: communities with better extension support and longer experience in pp cultivation are more effective in livestock control measures.
5.	role of community institutions in conflict resolution
evidence: results indicated that community institutions played a vital role in mediating conflicts between livestock owners and pp growers.
conclusion: the community-based livestock management arrangements have a positive role in resolving conflicts and promoting collective action for livestock control.
6.	economic incentives and collective livestock management (cblm)
evidence:  results showed that favorable economic incentives, such as reasonable pp prices, influenced the adoption of cblm measures.
conclusion: economic benefits exceeding perceived costs incentivize  smallholder farmers to invest in collective livestock management approaches.",cooperation,4,market access,2,200,market access,2018,economic,16
